"統計期","性別","失業人口/總計[千人]","失業人口/研究所[千人]","失業人口/大學[千人]","失業人口/專科[千人]","失業人口/高中[千人]","失業人口/高職[千人]","失業人口/國中[初職][千人]","失業人口/國小以下[千人]","失業率/全體[%]","失業率/研究所[%]","失業率/大學[%]","失業率/專科[%]","失業率/高中[%]","失業率/高職[%]","失業率/國中[初職][%]","失業率/國小以下[%]"
"100年平均","女",24,2,13,3,1,4,1,0,4.0,2.8,5.0,2.9,3.3,4.1,3.2,0.9
"101年平均","總計",54,5,26,9,4,7,3,0,4.3,2.8,4.9,4.0,3.8,4.3,5.4,2.5
"101年平均","男",32,3,14,5,3,4,3,0,4.8,3.2,5.4,4.3,4.6,4.7,6.7,3.0
"101年平均","女",22,2,12,4,1,3,0,0,3.7,2.3,4.4,3.5,2.4,3.9,2.0,2.0
"102年平均","總計",55,7,29,8,3,7,2,0,4.2,3.2,5.2,3.5,3.0,4.1,3.9,1.7
"102年平均","男",33,3,17,5,2,5,1,0,4.8,2.8,6.4,3.8,3.3,5.1,4.1,1.5
"102年平均","女",22,3,12,3,1,2,0,0,3.6,3.5,4.1,3.1,2.5,2.8,3.1,2.1
"103年平均","總計",52,5,28,9,3,6,2,0,4.0,2.2,4.7,3.9,3.5,4.0,4.5,2.8
"103年平均","男",33,2,16,6,2,5,1,0,4.7,1.7,5.6,4.8,4.9,5.5,4.8,3.2
"103年平均","女",20,3,12,3,0,1,0,0,3.2,2.7,3.9,2.8,1.0,1.9,3.4,2.4
"104年平均","總計",50,5,28,7,2,5,1,0,3.8,2.3,4.6,3.3,3.3,3.4,4.7,4.0
"104年平均","男",30,3,15,5,2,3,1,0,4.3,2.7,5.1,4.2,3.6,3.8,5.4,5.4
"104年平均","女",19,2,13,2,1,1,0,0,3.1,1.8,4.1,2.0,2.6,2.6,1.9,1.9
"105年平均","總計",52,6,29,7,4,5,1,0,3.9,2.5,4.6,3.3,5.0,3.8,4.3,1.8
"105年平均","男",33,3,17,5,2,4,1,0,4.6,2.7,5.6,4.4,5.1,4.3,4.4,2.3
